sample,fastq_1,fastq_2,strandedness
GYN_368,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_368_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_368_R2.fastq.gz,reverse
GYN_370,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_370_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_370_R2.fastq.gz,reverse
GYN_377,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_377_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_377_R2.fastq.gz,reverse
GYN_378,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_378_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_378_R2.fastq.gz,reverse
GYN_379,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_379_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_379_R2.fastq.gz,reverse
GYN_381B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_381B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_381B_R2.fastq.gz,reverse
GYN_393,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_393_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_393_R2.fastq.gz,reverse
GYN_407,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_407_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_407_R2.fastq.gz,reverse
GYN_411_R,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_411_R_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_411_R_R2.fastq.gz,reverse
GYN_415,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_415_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_415_R2.fastq.gz,reverse
GYN_430,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_430_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_430_R2.fastq.gz,reverse
GYN_436,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_436_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_436_R2.fastq.gz,reverse
GYN_446A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_446A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_446A_R2.fastq.gz,reverse
GYN_447A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447A_R2.fastq.gz,reverse
GYN_447B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447B_R2.fastq.gz,reverse
GYN_447C,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447C_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447C_R2.fastq.gz,reverse
GYN_447D,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447D_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_447D_R2.fastq.gz,reverse
GYN_465,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_465_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_465_R2.fastq.gz,reverse
GYN_466A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_466A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_466A_R2.fastq.gz,reverse
GYN_471_R,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_471_R_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_471_R_R2.fastq.gz,reverse
GYN_481A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_481A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_481A_R2.fastq.gz,reverse
GYN_481B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_481B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_481B_R2.fastq.gz,reverse
GYN_507,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_507_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_507_R2.fastq.gz,reverse
GYN_519,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_519_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_519_R2.fastq.gz,reverse
GYN_521,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_521_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_521_R2.fastq.gz,reverse
GYN_546,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_546_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_546_R2.fastq.gz,reverse
GYN_574A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_574A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_574A_R2.fastq.gz,reverse
GYN_585A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_585A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_585A_R2.fastq.gz,reverse
GYN_586A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_586A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_586A_R2.fastq.gz,reverse
GYN_587,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_587_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_587_R2.fastq.gz,reverse
GYN_590A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_590A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_590A_R2.fastq.gz,reverse
GYN_590B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_590B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_590B_R2.fastq.gz,reverse
GYN_592A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_592A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_592A_R2.fastq.gz,reverse
GYN_592B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_592B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_592B_R2.fastq.gz,reverse
GYN_595A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_595A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_595A_R2.fastq.gz,reverse
GYN_596A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_596A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_596A_R2.fastq.gz,reverse
GYN_608,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_608_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_608_R2.fastq.gz,reverse
GYN_609,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_609_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_609_R2.fastq.gz,reverse
GYN_610,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_610_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_610_R2.fastq.gz,reverse
GYN_611A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_611A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_611A_R2.fastq.gz,reverse
GYN_681,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_681_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_681_R2.fastq.gz,reverse
GYN_682,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_682_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_682_R2.fastq.gz,reverse
GYN_683A,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_683A_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_683A_R2.fastq.gz,reverse
GYN_695C,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_695C_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_695C_R2.fastq.gz,reverse
GYN_696B,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_696B_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_696B_R2.fastq.gz,reverse
GYN_697,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_697_R1.fastq.gz,/oak/stanford/groups/bhowitt/Medgenome2025_RNAseq/Raw files/GYN_697_R2.fastq.gz,reverse
