sample,fastq_1,fastq_2,strandedness
A29_S35,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A29_S35_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A29_S35_R2_001.fastq.gz,reverse
A2_S9,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A2_S9_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A2_S9_R2_001.fastq.gz,reverse
A30_S43,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A30_S43_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A30_S43_R2_001.fastq.gz,reverse
A31_S51,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A31_S51_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A31_S51_R2_001.fastq.gz,reverse
A32_S59,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A32_S59_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A32_S59_R2_001.fastq.gz,reverse
A33_S67,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A33_S67_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A33_S67_R2_001.fastq.gz,reverse
A34_S75,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A34_S75_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A34_S75_R2_001.fastq.gz,reverse
A35_S83,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A35_S83_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A35_S83_R2_001.fastq.gz,reverse
A36_S91,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A36_S91_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A36_S91_R2_001.fastq.gz,reverse
A37_S4,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A37_S4_R1_001.fastq.gz,/oak/stanford/groups/bhowitt/DNAnexus/Fastqs/200803_A00646_0057_BHTHTNDMXX/A37_S4_R2_001.fastq.gz,reverse
